latitude,longitude,town,postcode,epci,county,weight
45.74642,-0.37343000000000004,77.0,16370.0,15.0,1.0,28.2511311417462
45.74709,-0.37256000000000006,77.0,16370.0,15.0,1.0,28.2511311417462
44.2823,0.75768,154.0,47340.0,18.0,10.0,1.2363379285966773
45.67193,0.28799,210.0,16600.0,14.0,1.0,29.259826793920112
45.29743,-0.48455000000000004,65.0,17130.0,56.0,2.0,5.5415164369035
45.24724,0.00953,237.0,16210.0,32.0,1.0,27.641975963237893
45.76658,-0.54623,139.0,17100.0,11.0,2.0,5.480540827147402
45.68232,-0.09659000000000001,326.0,16200.0,15.0,1.0,28.236638388123012
46.29163,1.8526500000000001,159.0,23220.0,34.0,4.0,1.0150936726758573
46.28255,1.86374,13.0,23000.0,17.0,4.0,1.0882644043831744
46.29735,1.92869,130.0,23220.0,17.0,4.0,1.0882644043831744
46.37589,1.79248,183.0,23360.0,41.0,4.0,1.0545775892541533
46.14305,-1.05229,83.0,17220.0,10.0,2.0,5.626882290562036
45.942660000000004,-1.30721,279.0,17310.0,54.0,2.0,5.486337928596678
46.34073,1.9108200000000002,40.0,23220.0,41.0,4.0,1.0516790385295158
46.38081,1.78938,183.0,23360.0,41.0,4.0,1.0545775892541533
46.36322,1.89187,180.0,23220.0,41.0,4.0,1.0516790385295158
45.01273,-0.14305,1.0,33230.0,19.0,7.0,22.099293036408625
46.09894,-0.8356600000000001,235.0,17700.0,24.0,2.0,5.468345705196183
44.69554,-0.23844,56.0,33760.0,80.0,7.0,21.754931071049842
44.9375,-0.55727,38.0,33290.0,1.0,7.0,22.78391657829622
44.82799,-0.28332,282.0,33750.0,19.0,7.0,22.096394485683987
44.9639,-0.6638000000000001,166.0,33290.0,37.0,7.0,21.77872039589961
45.89816,-1.23566,100.0,17550.0,54.0,2.0,5.480540827147402
45.92685,-1.34633,279.0,17310.0,54.0,2.0,5.486337928596678
46.07359,-0.8325,151.0,17290.0,24.0,2.0,5.4741428066454585
44.88378,-0.36998000000000003,34.0,33750.0,76.0,7.0,21.818805231530575
43.34975,-0.34133,49.0,64000.0,6.0,11.0,0.9561505832449628
44.93503,-0.65058,38.0,33290.0,1.0,7.0,22.78391657829622
44.98869,-0.27555,110.0,33133.0,67.0,7.0,21.71834570519618
44.77402,-0.15931,131.0,33420.0,25.0,7.0,21.75782962177448
44.93473,-0.65088,38.0,33290.0,1.0,7.0,22.78391657829622
46.45891,0.28191000000000005,339.0,86370.0,63.0,12.0,1.5394839165782963
43.17967,-1.23218,125.0,64220.0,21.0,11.0,0.9927359490986213
44.9213,-0.65402,38.0,33290.0,1.0,7.0,22.78391657829622
46.07335,-0.89273,151.0,17290.0,24.0,2.0,5.4741428066454585
44.9088,-0.6549900000000001,38.0,33320.0,1.0,7.0,22.78391657829622
44.74822,-0.08855,39.0,33540.0,80.0,7.0,21.760728172499118
46.68205,0.37284,129.0,86130.0,82.0,12.0,1.6248497702368327
44.74901,-0.65234,57.0,33610.0,29.0,7.0,21.833297985153763
46.06953,-0.88321,151.0,17290.0,24.0,2.0,5.4741428066454585
44.74298,-0.61075,188.0,33850.0,50.0,7.0,22.074301873453518
44.93776,-0.65834,38.0,33290.0,1.0,7.0,22.78391657829622
44.68512,-0.9913700000000001,22.0,33980.0,12.0,7.0,21.730540827147404
44.82882,-0.53973,41.0,33100.0,1.0,7.0,22.778119476846943
44.93832,-0.66625,166.0,33290.0,37.0,7.0,21.77872039589961
44.99616,-0.8236800000000001,59.0,33480.0,38.0,7.0,21.71834570519618
44.74887,-0.10840000000000001,39.0,33540.0,80.0,7.0,21.760728172499118
45.41669,-1.07145,120.0,33590.0,35.0,7.0,21.693955461293744
44.73314,-0.21382,31.0,33760.0,80.0,7.0,21.75782962177448
46.61674,0.27240000000000003,201.0,86580.0,82.0,12.0,1.6393425238600212
46.18231,-1.17653,133.0,17137.0,10.0,2.0,5.626882290562036
46.0879,-1.01868,319.0,17290.0,10.0,2.0,5.641375044185224
46.10062,-1.02067,302.0,17290.0,10.0,2.0,5.629780841286673
46.10288,-0.9913600000000001,93.0,17220.0,10.0,2.0,5.626882290562036
46.10022,-1.04607,302.0,17220.0,10.0,2.0,5.629780841286673
